text,dominant_topic,topic_contribution
Into each life some confusion should come … also some enlightenment.,4,0.5249998935896388
"And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, your playmates and the voices of the wind and of the rain.…",2,0.5124994473584552
You wonder how they did the prospecting that was necessary to dig the canals.,4,0.5249999632297895
Things are not always what they seem to be.,5,0.5499878142878569
for some people a therapist can do nothing,6,0.36666652157465834
Poliomyelitis was the best teacher I ever had about human behavior and its potentials.,7,0.8199950590477274
"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments.",3,0.935713723368301
patients have the resources in their own history to resolve the problem that they bring to the therapist.,6,0.8499974973286574
I am partially color-blind.,6,0.69999999987271
And the purple telephone... was a gift from four graduate students.,4,0.6199933737869229
Concerning psychotherapy...,1,0.5499800118441333
People come here like this.,2,0.5246158660537094
And they leave here like this.,8,0.6999776412515423
Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?,1,0.9099959909186792
You have no siblings?,0,0.1
"Siblings, their ages and their sex.",0,0.5499999997201711
"No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it, your siblings and their sex and ages, your marital state, children, urban or rural background.",8,0.7397994384628632
Pleased to meet you.,0,0.6999999998851077
Any number of bugs will be all right.,0,0.4527673664875044
"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back.",9,0.4678553885993712
"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you.",5,0.9756666493117077
For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me how you stand up?,0,0.7653622619130495
Do you think you could walk six blocks down a street with no traffic of any kind at a steady pace? And can you walk in a straight line at a steady pace?,8,0.8001695527462821
How would you walk down the street naturally... in a hurry?,2,0.41999937191892306
And how straight a line would you walk?,8,0.5065984081589515
And where would you stop and where would you pause?,2,0.6999977339390825
Now that’s what I call an evasive answer. Where would you pause and where would you stop?,2,0.7749870318786641
Not until you got to the curb?,8,0.36666815689773846
How far before the curb?,5,0.3764792582717271
예를 들어... 당신을 지목해 보죠. 당신은 걷는 법을 아나요? 일어서는 법은요? 당신이 어떻게 일어서는지 제게 설명해 주시겠습니까?,9,0.8499999999704475
Look around where?,2,0.5499859801621412
"Now, how would you walk down the street?",8,0.6999959834808522
How would you walk down the street naturally... in a hurry?,2,0.41999937191892306
And how straight a line would you walk?,8,0.5065984081589515
"Now, how would you walk down the street?",8,0.6999959834808522
And where would you stop and where would you pause?,2,0.6999977339390825
How would you walk down the street naturally... in a hurry?,2,0.41999937191892306
Now that’s what I call an evasive answer. Where would you pause and where would you stop?,2,0.7749870318786641
And how straight a line would you walk?,8,0.5065984081589515
And where would you stop and where would you pause?,2,0.6999977339390825
Now that’s what I call an evasive answer. Where would you pause and where would you stop?,2,0.7749870318786641
Not until you got to the curb?,8,0.36666815689773846
How far before the curb?,5,0.3764792582717271
"Well, suppose instead of a stoplight, there is just a stop sign, and suppose there is no sign?",9,0.6375003099298996
I said there is no traffic of any kind.,8,0.524994501531815
"Well, say this is the intersection and if there was a stoplight and you walk along here, you look up and then you move your head to see how far it is to the curb. And if there is a stop sign you slow down to read that. And when you got to the curb, what would be the next thing you did?",8,0.5373004467609255
After you reach the curb.,6,0.3666683323416126
Look around where?,2,0.5499859801621412
I said there was no traffic.,1,0.3666670100803675
