predicate,agent,patient,manner,location,entry_id,original_text
come,confusion,enlightenment,also,N/A,0,Into each life some confusion should come … also some enlightenment.
go,voice,N/A,everywhere,N/A,1,"And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, your playmates and the voices of the wind and of the rain.…"
wonder,you,N/A,N/A,N/A,2,You wonder how they did the prospecting that was necessary to dig the canals.
do,they,prospecting,how,N/A,2,You wonder how they did the prospecting that was necessary to dig the canals.
dig,N/A,canals,N/A,N/A,2,You wonder how they did the prospecting that was necessary to dig the canals.
seem,they,N/A,N/A,N/A,3,Things are not always what they seem to be.
do,therapist,nothing,N/A,N/A,4,for some people a therapist can do nothing
have,i,N/A,ever,N/A,5,Poliomyelitis was the best teacher I ever had about human behavior and its potentials.
shut,mouth,N/A,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
open,ears,N/A,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
wait,you,N/A,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
form,N/A,judgments,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
have,you,evidence,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
support,N/A,inference,N/A,N/A,6,"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments."
have,patients,resources,N/A,N/A,7,patients have the resources in their own history to resolve the problem that they bring to the therapist.
resolve,N/A,problem,N/A,N/A,7,patients have the resources in their own history to resolve the problem that they bring to the therapist.
bring,they,N/A,N/A,N/A,7,patients have the resources in their own history to resolve the problem that they bring to the therapist.
concern,N/A,psychotherapy,N/A,N/A,10,Concerning psychotherapy...
come,people,N/A,here,N/A,11,People come here like this.
leave,they,N/A,here,N/A,12,And they leave here like this.
have,girl,N/A,N/A,N/A,13,Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?
have,you,siblings,N/A,N/A,14,You have no siblings?
get,you,it,where,N/A,16,"No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it, your siblings and their sex and ages, your marital state, children, urban or rural background."
meet,N/A,you,N/A,N/A,17,Pleased to meet you.
have,i,voice,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
have,i,polio,twice,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
dislocate,tongue,N/A,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
paralyze,lips,N/A,partially,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
have,i,diaphragm,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
speak,i,N/A,loudly,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
record,recorders,N/A,right,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
say,i,N/A,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
have,you,difficulty,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
understand,N/A,speech,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
understand,you,N/A,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
tell,N/A,me,why,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
sit,all,N/A,closer,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
hear,N/A,difficulties,N/A,N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
sit,people,N/A,"usually, back",N/A,19,"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed. I have only half a diaphragm and I can’t speak too loudly. Your tape recorders will record what I say all right, but you may have difficulty understanding my speech. If you don’t understand, why not tell me about it. And then another precaution — all of you who are hard of hearing, sit up closer. Usually the people with hearing difficulties sit way back."
teach,N/A,psychotherapy,N/A,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
emphasize,i,state,now,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
speak,i,N/A,N/A,N/A,20,"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious awareness. For convenience sake I speak about the conscious mind and the unconscious mind. Now the conscious mind is your state of immediate awareness. Consciously, you are aware of the wheelchair, the rug on the floor, the other people present, the lights, the bookcases, the night-blooming cacti flowers, the pictures on the wall, Count Dracula on the wall right behind you. In other words, you are dividing your attention between what I say and everything around you."
