pattern_id,state,state_label,output
ERICKSON_TRUISM_NORMALIZATION,RAPPORT,Rapport Building (라포 형성기),Into each life some confusion should come … also some enlightenment....
ERICKSON_POST_HYPNOTIC_ASSOCIATION,ACTION,Call to Action (행동 촉구기),"And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, yo..."
ERICKSON_TRUISM_PACING,RAPPORT,Rapport Building (라포 형성기),You wonder how they did the prospecting that was necessary to dig the canals....
ERICKSON_SHOCK_TRUISM,RESISTANCE,Resistance Bypassing (저항 우회기),Things are not always what they seem to be....
ERICKSON_TRUISM,RAPPORT,Rapport Building (라포 형성기),for some people a therapist can do nothing...
ERICKSON_REFRAMING,RAPPORT,Rapport Building (라포 형성기),Poliomyelitis was the best teacher I ever had about human behavior and its potentials....
ERICKSON_ANECDOTE_DIRECTIVE,METAPHOR,Metaphor Insertion (은유 삽입기),"a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgment..."
ERICKSON_RESOURCE_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),patients have the resources in their own history to resolve the problem that they bring to the thera...
ERICKSON_TRUISM_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),I am partially color-blind....
ERICKSON_ANECDOTE_BRIDGE,METAPHOR,Metaphor Insertion (은유 삽입기),And the purple telephone... was a gift from four graduate students....
ERICKSON_TRANSITION_GAZE,RAPPORT,Rapport Building (라포 형성기),Concerning psychotherapy......
ERICKSON_METAPHOR,METAPHOR,Metaphor Insertion (은유 삽입기),People come here like this....
ERICKSON_METAPHOR_DEMONSTRATION,METAPHOR,Metaphor Insertion (은유 삽입기),And they leave here like this....
ERICKSON_CONFUSION_INDIRECT_SUGGESTION,RESISTANCE,Resistance Bypassing (저항 우회기),Now how much sympathy does a 15-year-old girl have for a seven-year-old brother?...
ERICKSON_TRUISM_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),You have no siblings?...
ERICKSON_MINIMALISM,RAPPORT,Rapport Building (라포 형성기),"Siblings, their ages and their sex...."
ERICKSON_YES_SET_COMPLIANCE,RAPPORT,Rapport Building (라포 형성기),"No, today’s date. Your name, address, telephone number, your zip code, your degree, where you got it..."
ERICKSON_PACING_AND_RAPPORT,RAPPORT,Rapport Building (라포 형성기),Pleased to meet you....
ERICKSON_UTILIZATION_PUN,RAPPORT,Rapport Building (라포 형성기),Any number of bugs will be all right....
ERICKSON_TRUISM_UTILIZATION,RAPPORT,Rapport Building (라포 형성기),"I have a soft voice. I had polio twice, my tongue is dislocated and my lips are partially paralyzed...."
ERICKSON_TRUISM_YES_SET,RAPPORT,Rapport Building (라포 형성기),"Now, in teaching psychotherapy I emphasize a state of conscious awareness and a state of unconscious..."
ERICKSON_UNCONSCIOUS_CHALLENGE,RAPPORT,Rapport Building (라포 형성기),For example... I will pick on you. Do you know how to walk? How to stand up? Will you please tell me...
