pattern_id,hmm_state,is_passive,suggestive_verbs,context,reasoning,output,cognitive_frame_id
ERICKSON_TRUISM_NORMALIZATION,Rapport Building,False,,"{'topic': 'The necessity of confusion as a precursor to insight', 'tone_constraint': 'Philosophical, authoritative yet gentle, and pedagogical', 'structural_constraint': 'Parallel structure using a truism to reframe a negative state (confusion) into a positive necessity (enlightenment)'}","1. 내담자가 흔히 부정적으로 인식하는 '혼란(confusion)'을 삶의 피할 수 없는 일부로 긍정한다. 2. 'Should come'이라는 표현을 통해 혼란이 단순한 우연이 아니라 성장을 위해 필요한 단계임을 암시하여 저항을 낮춘다. 3. 'Confusion'과 'Enlightenment'를 대조적인 쌍으로 배치하여, 전자가 발생하면 후자도 반드시 발생할 것이라는 인과적 기대를 무의식에 심는다. 4. 시적이고 간결한 문장 구조를 사용하여 비판적 사고를 우회하고 메시지가 내담자의 내면에 깊이 수용되도록 유도한다.",Into each life some confusion should come … also some enlightenment.,5
ERICKSON_POST_HYPNOTIC_ASSOCIATION,Rapport Building,False,,"{'topic': 'The internalization and omnipresence of therapeutic influence', 'tone_constraint': 'Soothing, rhythmic, and mystical yet authoritative', 'structural_constraint': ""Polysyndeton (repeated use of 'and') and sensory-based generalization""}","1. 'And'로 문장을 시작하여 현재의 최면적 상태나 대화가 일상으로 자연스럽게 이어진다는 연속성을 부여한다. 2. 'goes everywhere with you'라는 표현을 통해 치료적 영향력의 공간적 제약을 제거하고 내담자의 삶 전체로 확장한다. 3. 목소리가 부모, 교사, 친구의 목소리로 '변한다'고 암시함으로써, 치료자의 권위적 암시를 내담자에게 친숙하고 수용 가능한 내면의 목소리로 치환한다. 4. 인간의 목소리를 넘어 바람과 비와 같은 자연 현상에 목소리를 투사하여, 내담자가 환경과 상호작용하는 모든 순간이 치료적 자극이 되도록 설계한다. 5. 반복적인 접속사 사용을 통해 리듬감을 형성하고 비판적 사고를 우회하여 무의식에 깊이 각인시킨다.","And my voice goes everywhere with you, and changes into the voice of your parents, your teachers, your playmates and the voices of the wind and of the rain.…",5
ERICKSON_TRUISM_PACING,Rapport Building,False,wonder,"{'topic': 'Historical irrigation canals as a metaphor for mental preparation and exploration', 'tone_constraint': 'Observational, curious, and gently authoritative', 'structural_constraint': ""Mind-reading statement ('You wonder') used to pace the client's internal experience and direct focus""}","1. 내담자와의 초기 라포 형성을 위해 직접적인 문제 언급 대신 애리조나의 운하라는 중립적이고 구체적인 소재를 선택한다. 2. '당신은 ~라고 궁금해할 것입니다(You wonder...)'라는 표현을 사용하여 내담자의 사고 과정을 미리 정의함으로써 저항을 우회하고 치료자의 말에 집중하게 만든다(Mind Reading 기법). 3. '탐사(prospecting)'와 '필요한(necessary)'이라는 단어를 전략적으로 배치하여, 현재 진행 중인 대화가 무의식의 물길을 트기 위한 필수적인 기초 작업임을 은유적으로 전달한다. 4. 결과적으로 내담자가 자신의 내면을 탐색하는 과정에 대해 거부감 없이 호기심을 갖도록 유도한다.",You wonder how they did the prospecting that was necessary to dig the canals.,5
ERICKSON_SHOCK_TRUISM,Resistance Bypassing,False,,"{'topic': 'Perception and the fallibility of conscious judgment', 'tone_constraint': 'Provocative, calm, and authoritative', 'structural_constraint': 'Physical shock followed by a linguistic truism'}","1. 가짜 돌을 던지는 돌발 행동을 통해 내담자의 의식적인 방어 기제를 순간적으로 마비시킨다. 2. 내담자가 느낀 공포와 실제 사물의 가벼움 사이의 괴리를 통해 '지각의 오류'를 신체적으로 체험하게 한다. 3. 혼란이 극에 달한 순간, 반박할 수 없는 보편적 진술인 '사물은 보이는 것과 항상 같지는 않다'는 문장을 던져 무의식이 이 교훈을 깊이 수용하게 만든다.",Things are not always what they seem to be.,11
ERICKSON_TRUISM,Rapport Building,False,,"{'topic': ""The inherent limitations of psychotherapy and the therapist's role"", 'tone_constraint': 'Realistic, detached, and objective', 'structural_constraint': 'A simple, direct truism that sets a boundary for expectations'}",1. 치료자의 전지전능함에 대한 환상을 깨뜨려 치료 과정의 불필요한 압박을 제거한다. 2. '어떤 사람들에게는(for some people)'이라는 한정어를 사용하여 일반화의 오류를 피하면서도 특정 상황에서의 무력함을 인정한다. 3. '아무것도 할 수 없다(can do nothing)'는 극단적 표현을 통해 치료의 주도권이 치료자가 아닌 내담자의 내적 준비도에 있음을 역설적으로 시사한다. 4. 이를 통해 치료자 자신의 겸손함을 유지하고 내담자의 저항을 원천 봉쇄한다.,for some people a therapist can do nothing,10
ERICKSON_REFRAMING,Rapport Building,False,,"{'topic': 'Transforming physical adversity into psychological wisdom', 'tone_constraint': 'Reflective, authoritative, and paradoxically positive', 'structural_constraint': 'Paradoxical reframing of a disability as a pedagogical asset'}","1. 내담자나 청중이 가진 '질병은 극복해야 할 장애물'이라는 일반적인 고정관념을 우회한다. 2. 소아마비라는 구체적인 고난을 '스승(Teacher)'이라는 긍정적이고 지혜로운 객체로 은유하여 수용의 관점을 바꾼다. 3. 신체적 제약이 오히려 인간 심리와 잠재력에 대한 깊은 관찰과 통찰을 가능하게 했음을 강조함으로써, 모든 부정적 상황이 성장의 자원이 될 수 있다는 강력한 암시를 심는다.",Poliomyelitis was the best teacher I ever had about human behavior and its potentials.,11
ERICKSON_ANECDOTE_DIRECTIVE,Metaphor Insertion,False,,"{'topic': 'Professional observation and suspension of judgment in sensitive contexts', 'tone_constraint': 'Instructive, calm, and observational', 'structural_constraint': 'Parallel sensory-based directives embedded as a descriptive state'}","1. 내담자의 주관적 편견이나 성급한 결론(Resistance)을 차단하기 위해 신체적 상태를 먼저 규정한다. 2. '입을 다물고', '눈과 귀를 여는' 구체적인 감각적 행동을 나열하여 정보 수용에 집중하는 트랜스 상태와 유사한 수동적 관찰 상태를 유도한다. 3. '실제 증거가 있을 때까지 기다린다'는 논리적 조건을 삽입하여 무의식적으로 인내와 객관성을 수용하게 만든다. 4. 명령조가 아닌 묘사적 서술을 통해 저항을 최소화하면서도 강력한 행동 지침을 내면화시킨다.","a blank face, your mouth shut, your eyes open and your ears open, and you wait to form your judgments until you have some actual evidence to support your inference and your judgments.",11
ERICKSON_RESOURCE_UTILIZATION,Rapport Building,False,,"{'topic': 'The inherent capacity of patients to solve their own problems using past experiences', 'tone_constraint': 'Authoritative yet empowering and observant', 'structural_constraint': 'A declarative statement of fact serving as a presupposition for self-efficacy'}",1. 내담자가 치료자에게 의존하려는 심리적 관성을 깨뜨리기 위해 문제 해결의 주체를 내담자로 설정한다. 2. '개인의 역사(own history)'라는 표현을 사용하여 내담자가 잊고 있었던 과거의 성공 경험이나 학습된 기술들을 무의식적으로 탐색하도록 유도한다. 3. '자원(resources)'이라는 단어를 통해 추상적인 문제를 구체적이고 해결 가능한 요소로 치환한다. 4. 결과적으로 치료 상황을 '치료자가 고쳐주는 것'이 아니라 '내담자가 자신의 보물을 찾는 과정'으로 재프레임(Reframing)한다.,patients have the resources in their own history to resolve the problem that they bring to the therapist.,11
ERICKSON_TRUISM_UTILIZATION,Rapport Building,False,,"{'topic': '지각의 주관성과 라포 형성을 위한 자기 개방', 'tone_constraint': '담담하고 사실적이며 방어적이지 않은 어조', 'structural_constraint': '단순 평서문을 통한 트루이즘(Truism) 및 취약성 노출'}","1. 치료사의 완벽한 권위자 이미지를 의도적으로 무너뜨려 내담자의 심리적 저항을 낮춘다. 2. '색맹'이라는 구체적 사실을 고백함으로써 우리가 보는 세상이 절대적이지 않으며 개인의 지각에 따라 달라질 수 있다는 '지각의 상대성'을 무의식에 심는다. 3. 보라색 전화기 일화 속에서 발생한 지각의 오류를 정당화하는 동시에, 내담자가 자신의 고정관념이나 문제 상황을 다른 시각으로 바라볼 수 있도록 유도하는 재구조화(Reframing)의 토대를 마련한다. 4. 명백한 사실을 진술하여 내담자의 무의식이 긍정적 반응을 보이게 하는 '예스 세트(Yes-set)'를 형성한다.",I am partially color-blind.,8
ERICKSON_ANECDOTE_BRIDGE,Metaphor Insertion,False,,"{'topic': 'The origin of the purple telephone', 'tone_constraint': 'Matter-of-fact yet intriguing', 'structural_constraint': 'Simple declarative with a rhythmic pause'}","1. 보라색 전화기라는 시각적으로 강렬하고 독특한 소재를 제시하여 내담자의 즉각적인 주의(Attention)를 환기한다. 2. 문장 중간에 의도적인 휴지(pause)를 두어 내담자가 해당 사물을 마음속으로 시각화할 시간을 부여한다. 3. '대학원생들의 선물'이라는 구체적이고 일상적인 사실을 결합하여, 치료자가 타인과 긍정적인 관계를 맺고 있는 인물임을 무의식적으로 암시하며 라포(Rapport)를 강화한다. 4. 지극히 평범한 진술(Truism)을 통해 내담자의 비판적 사고를 완화하고 이어질 암시를 수용할 준비를 시킨다.",And the purple telephone... was a gift from four graduate students.,8
